H1 o3a,Count,%
Scattered_Light,63989.0,64.26663184959023
Extremely_Loud,9968.0,10.011248593925758
Blip,5830.0,5.855294873855054
Koi_Fish,5306.0,5.329021372328459
Low_Frequency_Lines,3253.0,3.267113932187048
Low_Frequency_Burst,2402.0,2.412421661578017
Whistle,1674.0,1.681263056403664
None_of_the_Above,1565.0,1.571790133376185
Tomte,1158.0,1.1630242648240399
No_Glitch,1094.0,1.0987465852482725
Violin_Mode,1013.0,1.017395147035192
Repeating_Blips,1004.0,1.0083560983448498
1080Lines,306.0,0.3073276554716375
Scratchy,249.0,0.2500803470994697
1400Ripples,216.0,0.21693716856821468
Power_Line,161.0,0.16169853768278966
Air_Compressor,139.0,0.13960308532861965
Paired_Doves,100.0,0.10043387433713642
Helix,68.0,0.06829503454925277
Light_Modulation,46.0,0.04619958219508276
Chirp,24.0,0.024104129840912744
Wandering_Line,3.0,0.003013016230114093
Total,99568.0,100.0
